time,coverage,fitness,total_execs,dictionary
60,1686,6331,121018,14
120,1687,6868,208834,7
180,1687,7022,293961,6
240,1687,7136,377527,1
300,1691,7239,461564,0
360,1691,7324,540486,0
420,1691,7336,624674,1
480,1691,7383,707461,2
540,1691,7389,792690,0
600,1692,7391,873624,0
660,1692,7393,955872,2
720,1693,7410,1034523,0
780,1693,7410,1118061,0
840,1693,7410,1202240,0
900,1693,7410,1286015,0
960,1693,7410,1370095,0
1020,1693,7411,1455151,0
1080,1693,7413,1540570,0
1140,1693,7417,1631685,1
1200,1695,7455,1715645,2
1260,1695,7463,1797875,0
1320,1695,7467,1887969,2
1380,1695,7482,1978159,0
1440,1695,7486,2063193,1
1500,1695,7498,2143511,0
1560,1695,7507,2235433,1
1620,1695,7653,2324187,0
1680,1695,7657,2410247,0
1740,1695,7659,2496279,0
1800,1695,7666,2581045,0
1860,1695,7666,2667423,0
1920,1695,7666,2753894,0
1980,1695,7666,2841177,0
2040,1695,7666,2928999,0
2100,1695,7669,3016120,0
2160,1695,7675,3108128,1
2220,1695,7675,3197026,0
2280,1695,7676,3282358,1
2340,1695,7676,3363380,0
2400,1695,7701,3450910,0
2460,1695,7701,3541364,1
2520,1695,7701,3630813,0
2580,1695,7704,3718116,0
2640,1695,7707,3807075,0
2700,1695,7707,3895548,0
2760,1695,7709,3982905,0
2820,1695,7709,4070280,0
2880,1695,7709,4161673,1
2940,1695,7709,4249311,0
3000,1695,7709,4337518,0
3060,1695,7709,4426117,0
3120,1695,7709,4514113,0
3180,1695,7731,4602466,0
3240,1695,7731,4690839,0
3300,1695,7731,4779371,0
3360,1695,7731,4868412,0
3420,1695,7731,4955970,0
3480,1695,7732,5044552,0
3540,1695,7732,5130827,0
3600,1695,7732,5219769,0
