time,coverage,fitness,total_execs,dictionary
60,1721,8563,186487,70
120,1727,9416,306194,9
180,1733,9719,409902,11
240,1736,9807,520167,4
300,1736,9848,624819,8
360,1736,9898,720648,5
420,1736,9941,813618,6
480,1736,9916,905028,6
540,1736,9934,1002045,5
600,1736,9958,1108417,4
660,1738,10020,1213354,3
720,1738,10026,1309939,6
780,1738,10041,1406389,3
840,1738,10024,1506272,3
900,1738,10043,1599778,5
960,1738,10096,1701859,5
1020,1738,10054,1805166,1
1080,1738,10071,1911454,3
1140,1738,10048,2001004,3
1200,1738,10092,2102473,3
1260,1738,10085,2208553,5
1320,1739,10087,2312047,5
1380,1739,10111,2417274,5
1440,1739,10113,2521664,2
1500,1739,10228,2625784,5
1560,1739,10199,2730147,6
1620,1739,10181,2830841,1
1680,1739,10179,2920168,1
1740,1739,10195,2990746,2
1800,1739,10178,3087657,4
1860,1739,10234,3192387,6
1920,1739,10240,3295893,4
1980,1739,10234,3401816,4
2040,1739,10285,3509095,7
2100,1739,10285,3612756,5
2160,1739,10306,3712395,1
2220,1739,10420,3815276,3
2280,1739,10404,3916663,4
2340,1739,10454,4023439,5
2400,1739,10434,4129267,5
2460,1739,10456,4234348,5
2520,1769,10517,4335264,6
2580,1742,10504,4435088,3
2640,1742,10497,4535741,6
2700,1742,10511,4639798,3
2760,1742,10505,4744151,5
2820,1742,10500,4849469,4
2880,1742,10513,4954546,3
2940,1742,10526,5057940,3
3000,1742,10558,5159005,3
3060,1742,10588,5263909,5
3120,1742,10534,5371728,5
3180,1742,10565,5477123,4
3240,1742,10563,5576709,1
3300,1742,10558,5678860,4
3360,1742,10563,5777223,4
3420,1742,10580,5881852,3
3480,1742,10590,5981265,3
3540,1742,10629,6078906,3
3600,1742,10604,6181466,7
