time,coverage,fitness,total_execs,dictionary
60,1689,6533,170242,0
120,1692,6945,274975,0
180,1696,7165,376791,0
240,1696,7300,478602,0
300,1696,7323,566367,0
360,1696,7340,655827,0
420,1696,7406,746773,0
480,1696,7409,834226,0
540,1696,7434,923396,0
600,1697,7458,1010342,0
660,1697,7459,1096425,0
720,1697,7464,1188223,0
780,1701,7542,1279150,0
840,1701,7546,1368170,0
900,1701,7577,1455940,0
960,1701,7619,1542335,0
1020,1701,7621,1626516,0
1080,1701,7621,1712520,0
1140,1701,7642,1798613,0
1200,1701,7646,1885868,0
1260,1701,7648,1976005,0
1320,1701,7648,2063840,0
1380,1701,7675,2150548,0
1440,1701,7683,2236491,0
1500,1701,7685,2322935,0
1560,1701,7689,2409876,0
1620,1701,7693,2497357,0
1680,1701,7694,2583723,0
1740,1701,7694,2670792,0
1800,1701,7722,2757417,0
1860,1701,7722,2843224,0
1920,1701,7722,2929661,0
1980,1701,7722,3016690,0
2040,1701,7722,3103924,0
2100,1701,7722,3191542,0
2160,1701,7722,3279115,0
2220,1701,7722,3368165,0
2280,1701,7722,3455272,0
2340,1701,7726,3543174,0
2400,1701,7814,3630972,0
2460,1701,7814,3719125,0
2520,1701,7814,3806934,0
2580,1701,7814,3895434,0
2640,1701,7818,3984114,0
2700,1701,7818,4072143,0
2760,1701,7818,4161664,0
2820,1701,7818,4249982,0
2880,1701,7818,4339617,0
2940,1701,7818,4427836,0
3000,1701,7819,4516867,0
3060,1701,7820,4605489,0
3120,1701,7820,4694762,0
3180,1701,7820,4785204,0
3240,1701,7820,4874154,0
3300,1701,7820,4965028,0
3360,1701,7820,5055744,0
3420,1701,7821,5144292,0
3480,1701,7821,5232611,0
3540,1701,7821,5320481,0
3600,1701,7821,5409151,0
