time,coverage,fitness,total_execs,dictionary
60,1665,7425,224334,0
120,1672,9059,383660,0
180,1673,9307,523794,0
240,1679,9413,652774,0
300,1679,9485,781968,0
360,1679,9596,914636,0
420,1705,9758,1038788,0
480,1705,9799,1163222,0
540,1705,9820,1288674,0
600,1706,9818,1403670,0
660,1707,9818,1516968,0
720,1707,9864,1634239,0
780,1708,9860,1756709,0
840,1708,9955,1877489,0
900,1708,9948,1990482,0
960,1708,9967,2091522,0
1020,1709,10034,2211565,0
1080,1709,10092,2334049,0
1140,1709,10054,2457137,0
1200,1709,10068,2581088,0
1260,1709,10071,2699591,0
1320,1709,10124,2820162,0
1380,1709,10123,2943643,0
1440,1709,10130,3066421,0
1500,1709,10115,3175862,0
1560,1709,10127,3298352,0
1620,1709,10112,3424186,0
1680,1709,10109,3551256,0
1740,1735,10133,3661829,0
1800,1735,10186,3782594,0
1860,1735,10209,3906132,0
1920,1736,10196,3995041,0
1980,1736,10185,4062119,0
2040,1736,10235,4153189,0
2100,1736,10213,4246418,0
2160,1736,10230,4354429,0
2220,1736,10272,4454266,0
2280,1736,10277,4543053,0
2340,1736,10262,4618892,0
2400,1736,10301,4718813,0
2460,1736,10319,4815134,0
2520,1763,10344,4921728,0
2580,1736,10285,4986009,0
2640,1736,10331,5075044,0
2700,1736,10324,5162280,0
2760,1736,10321,5236001,0
2820,1763,10389,5311240,0
2880,1736,10436,5406647,0
2940,1736,10535,5509095,0
3000,1736,10560,5614271,0
3060,1736,10538,5721100,0
3120,1736,10513,5824551,0
3180,1736,10565,5928062,0
3240,1736,10615,6028096,0
3300,1763,10620,6134636,0
3360,1736,10587,6248870,0
3420,1736,10562,6351531,0
3480,1736,10595,6449773,0
3540,1736,10586,6559524,0
3600,1736,10646,6661137,0
